,Name,Lat,Long,Distance,Category,Company,City
0,Basisschool St-Jan Berchmanscollege,50.841114,4.345791,143.0,Elementary School,Getyoo,Brussels
1,Vrije Basisschool - Sint-Joris,50.838791,4.342871,255.0,Elementary School,Getyoo,Brussels
2,Ecole d apllication charles buls,50.838187,4.342025,369.0,Elementary School,Getyoo,Brussels
3,Sint-Joris Basisschool,50.84442,4.348585,505.0,Elementary School,Getyoo,Brussels
4,Bsgo De Bron,50.834831,4.340237,719.0,Elementary School,Getyoo,Brussels
5,ecole communale Léon Lepage,50.846606,4.345592,740.0,Elementary School,Getyoo,Brussels
6,Ecole Primaire Des Six Jetons,50.847582,4.343905,888.0,Elementary School,Getyoo,Brussels
7,École Ulenspiegel,50.832962,4.339443,921.0,Elementary School,Getyoo,Brussels
8,Gbs Kameleon,50.845345,4.333929,1056.0,Elementary School,Getyoo,Brussels
9,Atheneum Brussel,50.849731,4.3443,1108.0,Primary and Secondary School,Getyoo,Brussels
10,De Kleurdoos,50.849906,4.344393,1113.0,Education,Getyoo,Brussels
11,GBS Kameleon,50.842481,4.33066,1140.0,Elementary School,Getyoo,Brussels
12,"Bruxelles, Ecole fondamentale Saint-Thomas",50.849935,4.341433,1173.0,Elementary School,Getyoo,Brussels
13,Basisschool De Bron,50.830626,4.355306,1196.0,Elementary School,Getyoo,Brussels
14,Ecole Nouvelle Primaire,50.828579,4.346889,1266.0,Elementary School,Getyoo,Brussels
15,Basisschool Sint-Gillis,50.82872,4.338689,1362.0,Elementary School,Getyoo,Brussels
16,École Peter Pan,50.827347,4.346613,1405.0,Elementary School,Getyoo,Brussels
17,"ANDERLECHT, Ecole primaire et maternelle Saint François Xavier",50.836077,4.327271,1415.0,Elementary School,Getyoo,Brussels
18,Ecole Saint François Xavier,50.836305,4.327079,1434.0,Elementary School,Getyoo,Brussels
19,Ecole 1-2,50.826759,4.341763,1499.0,Elementary School,Getyoo,Brussels
20,"ANDERLECHT, Lagere-en Kleuterschool",50.835733,4.325928,1516.0,Elementary School,Getyoo,Brussels
21,Mabo Basisschool,50.853475,4.343789,1516.0,Elementary School,Getyoo,Brussels
22,"Ixelles, Jardin des Ecoliers",50.831134,4.365337,1595.0,Elementary School,Getyoo,Brussels
23,Etoile du Berger,50.831037,4.365015,1612.0,Elementary School,Getyoo,Brussels
24,École P9-10,50.835902,4.323897,1642.0,Elementary School,Getyoo,Brussels
25,Ecole fondamentale du Canal,50.854916,4.349542,1663.0,Elementary School,Getyoo,Brussels
26,Imelda Basisschool,50.849144,4.326927,1717.0,Elementary School,Getyoo,Brussels
27,Basisschool De Klimpaal - Freinetschool,50.853387,4.334075,1718.0,Elementary School,Getyoo,Brussels
28,École Primaire Saint-Antoine,50.828723,4.328314,1771.0,Elementary School,Getyoo,Brussels
29,De Puzzel,50.827075,4.331082,1783.0,Elementary School,Getyoo,Brussels
30,Institut Saint-Boniface-Parnasse,50.833924,4.370963,1786.0,Elementary School,Getyoo,Brussels
31,Ecole Primaire Et Maternelle N° 2 Et 14,50.833203,4.370913,1872.0,Elementary School,Getyoo,Brussels
32,"Molenbeek-Saint-Jean, Ecole Sainte-Ursule",50.855887,4.336287,1875.0,Education,Getyoo,Brussels
33,"Sint-Jans-Molenbeek, Basisschool Vier Winden",50.85593,4.33623,1907.0,Elementary School,Getyoo,Brussels
34,GBS Windroos,50.854482,4.330723,1952.0,Elementary School,Getyoo,Brussels
35,Ket & Co,50.852558,4.326531,1972.0,Elementary School,Getyoo,Brussels
36,Saint Boniface,50.835856,4.374962,2050.0,Elementary School,Getyoo,Brussels
37,Groupe scolaire de Ten Bosch,50.822471,4.361135,2200.0,Elementary School,Getyoo,Brussels
38,Basisschool Dertien,50.83658,4.31473,2259.0,Elementary School,Getyoo,Brussels
39,Ecole Saint François,50.856874,4.364743,2261.0,Elementary School,Getyoo,Brussels
40,Ecole Communale Armand Swartenbroeks Primaire,50.858684,4.330851,2350.0,Elementary School,Getyoo,Brussels
41,Ecole Fondamentale de l'Héliport,50.859712,4.35384,2351.0,Elementary School,Getyoo,Brussels
42,Gbs De Knipoog,50.84978,4.316714,2364.0,Elementary School,Getyoo,Brussels
43,Les Marronniers,50.837174,4.312848,2377.0,Elementary School,Getyoo,Brussels
44,Sint Joost Aan Zee,50.85517,4.371421,2425.0,Elementary School,Getyoo,Brussels
45,Salle De Sport HF,50.851476,4.376125,2442.0,Elementary School,Getyoo,Brussels
46,Salle De Psychomot,50.85168,4.376313,2451.0,Elementary School,Getyoo,Brussels
47,Hall De L Ecole,50.85168,4.376313,2451.0,Elementary School,Getyoo,Brussels
48,European School Berkendael,50.817577,4.348627,2499.0,Elementary School,Getyoo,Brussels
49,La flute enchantée,50.840299,4.350827,3699.0,Elementary School,Getyoo,Brussels
50,Bessie Carmichael Elementary School,37.776344,-122.406468,501.0,Elementary School,Samasource,San Francisco
51,Notre Dame Des Victoires School,37.791185,-122.406339,1410.0,Elementary School,Samasource,San Francisco
52,Nam Kue School,37.793251,-122.405386,1610.0,Elementary School,Samasource,San Francisco
53,Live Oak School,37.763509,-122.399117,1737.0,Elementary School,Samasource,San Francisco
54,Chinese Education Center Elementary School,37.794856,-122.404046,1764.0,Elementary School,Samasource,San Francisco
55,Edwin and Anita Lee Newcomer School,37.794818,-122.404116,1769.0,Elementary School,Samasource,San Francisco
56,Gordon J Lau Elementary School,37.794355,-122.408892,1788.0,Elementary School,Samasource,San Francisco
57,Chinese American International School,37.775313,-122.422104,1830.0,Elementary School,Samasource,San Francisco
58,Cathedral School For Boys,37.792244,-122.413858,1831.0,Elementary School,Samasource,San Francisco
59,John Swett Alternative Elementary School,37.780381,-122.422906,1861.0,Elementary School,Samasource,San Francisco
60,Redding Elementary School,37.78957,-122.419363,1921.0,Elementary School,Samasource,San Francisco
61,Marshall Elementary School,37.766468,-122.419001,2055.0,Elementary School,Samasource,San Francisco
62,Daniel Webster Elementary SCHL,37.760587,-122.395863,2094.0,Elementary School,Samasource,San Francisco
63,John Yehall Chin Elementary School,37.798585,-122.403119,2161.0,Elementary School,Samasource,San Francisco
64,Jean Parker Elementary School,37.797687,-122.411024,2225.0,Elementary School,Samasource,San Francisco
65,Spring Valley Elementary School,37.794047,-122.418911,2279.0,Elementary School,Samasource,San Francisco
66,John Muir Elementary School,37.773721,-122.428819,2407.0,Elementary School,Samasource,San Francisco
67,Bessie Carmichael Elementary,37.780661,-122.400414,222.0,Elementary School,Samasource,San Francisco
68,San Francisco Unified School District,37.780634,-122.40034,223.0,Elementary School,Samasource,San Francisco
69,Bessie Carmichael Elementary School,37.777054,-122.406151,438.0,Elementary School,Samasource,San Francisco
70,Bessie Carmichael Pre K,37.77662,-122.406699,504.0,Elementary School,Samasource,San Francisco
71,San Francisco Unified School District,37.775948,-122.406086,505.0,Elementary School,Samasource,San Francisco
72,Bessie Carmichael Pre-K School,37.776371,-122.406541,507.0,Elementary School,Samasource,San Francisco
73,Carmichael (Bessie)/Fec,37.776019,-122.406448,524.0,Elementary School,Samasource,San Francisco
74,Golden Gate Restaurant Association Scholarship Fun,37.787641,-122.403979,980.0,Elementary School,Samasource,San Francisco
75,The Buddy System,37.787934,-122.405287,1039.0,Elementary School,Samasource,San Francisco
76,Year On,37.787611,-122.396665,1058.0,Elementary School,Samasource,San Francisco
77,De Marillac Middle School,37.781697,-122.413378,1060.0,Elementary School,Samasource,San Francisco
78,Altschool,37.771751,-122.409709,1062.0,Elementary School,Samasource,San Francisco
79,San Ramon Valley Unified School.dst,37.789453,-122.401649,1162.0,Elementary School,Samasource,San Francisco
80,Market Street School,37.778427,-122.415551,1209.0,Elementary School,Samasource,San Francisco
81,Barbizon School Of San Francisco,37.78938,-122.406448,1224.0,Elementary School,Samasource,San Francisco
82,San Francisco County Office Of Education,37.779029,-122.415801,1229.0,Elementary School,Samasource,San Francisco
83,Technapex Elementary School,37.791458,-122.40105,1386.0,Elementary School,Samasource,San Francisco
84,Autodesk Authorized Training Centers Sfsu Downtown Center,37.791156,-122.398164,1389.0,Elementary School,Samasource,San Francisco
85,Oxford Elementary School,37.791248,-122.396521,1438.0,Elementary School,Samasource,San Francisco
86,Education Financing,37.792234,-122.398156,1506.0,Elementary School,Samasource,San Francisco
87,Community Alliance For Special Education,37.767522,-122.41118,1517.0,Elementary School,Samasource,San Francisco
88,Glenmoor Elementary School,37.791721,-122.393322,1598.0,Elementary School,Samasource,San Francisco
89,Tenderlion Pre-K School,37.781857,-122.419839,1615.0,Elementary School,Samasource,San Francisco
90,Helix Medical Communications,37.793637,-122.401608,1627.0,Elementary School,Samasource,San Francisco
91,Chinese Central High School,37.793537,-122.408055,1707.0,Elementary School,Samasource,San Francisco
92,San Francisco Supt of Schools,37.779292,-122.422196,1791.0,Elementary School,Samasource,San Francisco
93,Camp Doodles,37.7754,-122.421823,1803.0,Elementary School,Samasource,San Francisco
94,The New School of San Francisco,37.761752,-122.400734,1917.0,Elementary School,Samasource,San Francisco
95,San Francisco Unified School District Financing Corporation,37.761703,-122.400946,1922.0,Elementary School,Samasource,San Francisco
96,Envision Schools,37.761812,-122.398659,1928.0,Elementary School,Samasource,San Francisco
97,Creative Arts Charter School,37.761503,-122.400576,1946.0,Elementary School,Samasource,San Francisco
98,Brightworks School,37.762286,-122.410441,2005.0,Elementary School,Samasource,San Francisco
99,Campus Lane Publishing,37.797375,-122.405701,2071.0,Elementary School,Samasource,San Francisco
100,Glen Cove Elementary School,38.07449,-122.208037,1135.0,Elementary School,Echo,San francisco
101,Joe Henderson Elementary School,38.082068,-122.170461,1652.0,Elementary School,Echo,San francisco
102,Mary Farmar Elementary School,38.062909,-122.170232,1910.0,Elementary School,Echo,San francisco
103,Vallejo City Unified School District,38.074528,-122.207967,1758.0,Elementary School,Echo,San francisco
104,Benicia Unified School District Educational Facilities Corporation,38.08203,-122.170531,1829.0,Elementary School,Echo,San francisco
105,Benicia Unified School District,38.062077,-122.171768,1861.0,Elementary School,Echo,San francisco
106,Benicia Middle School,38.067987,-122.172105,1464.0,Middle School,Echo,San francisco
107,Benicia High School,38.064239,-122.175563,1506.0,High School,Echo,San francisco
108,St Patrick St Vincent High School,38.086582,-122.202036,1986.0,High School,Echo,San francisco
109,Soho Parish C of E Primary School,51.511711,-0.134438,542.0,Elementary School,Seedcamp,London
110,St George's Hanover Square Primary School,51.508825,-0.15002,609.0,Elementary School,Seedcamp,London
111,"UK College for Health, Medical & Research",51.518432,-0.142351,843.0,Elementary School,Seedcamp,London
112,St Vincent's RC Primary School,51.518555,-0.152535,992.0,Elementary School,Seedcamp,London
113,All Souls C of E Primary School,51.519959,-0.138584,1027.0,Elementary School,Seedcamp,London
114,St Josephs R C Primary School,51.516193,-0.121731,1497.0,Elementary School,Seedcamp,London
115,St Clement Danes C of E Primary School,51.513551,-0.119217,1575.0,Elementary School,Seedcamp,London
116,Connaught House School,51.513903,-0.164154,1575.0,Elementary School,Seedcamp,London
117,St Matthew's CE Primary School,51.497346,-0.130885,1664.0,Elementary School,Seedcamp,London
118,St Peter's Eaton Square C of E School,51.496057,-0.146512,1677.0,Elementary School,Seedcamp,London
119,St Vincent de Paul RC Primary School,51.495751,-0.140289,1684.0,Elementary School,Seedcamp,London
120,St Peter's Eaton Square CE Primary,51.496006,-0.146452,1690.0,Elementary School,Seedcamp,London
121,St Mary's Bryanston Sqaure Primary School,51.520402,-0.162864,1794.0,Elementary School,Seedcamp,London
122,Netley Primary School & Centre for Autism,51.527869,-0.140646,1889.0,Elementary School,Seedcamp,London
123,Francis Holland School,51.524693,-0.160166,2001.0,Elementary School,Seedcamp,London
124,Eaton House School,51.494096,-0.154935,2070.0,Elementary School,Seedcamp,London
125,Holy Trinity C of E Primary School,51.493418,-0.15672,2207.0,Elementary School,Seedcamp,London
126,Christ Church Primary School,51.530895,-0.144211,2232.0,Elementary School,Seedcamp,London
127,Millbank Primary School,51.491938,-0.130338,2242.0,Elementary School,Seedcamp,London
128,Argyle School,51.528292,-0.124448,2282.0,Elementary School,Seedcamp,London
129,"St Barnabas, Pimlico",51.490401,-0.151777,2325.0,Elementary School,Seedcamp,London
130,Argyle Primary School,51.528742,-0.124083,2336.0,Elementary School,Seedcamp,London
131,Oasis Academy Johanna,51.501621,-0.111636,2341.0,Elementary School,Seedcamp,London
132,St Aloysius Junior School,51.531507,-0.134495,2348.0,Elementary School,Seedcamp,London
133,St Albans Primary School,51.520223,-0.110579,2401.0,Elementary School,Seedcamp,London
134,St Mary and St Pancras Church of England Primary School,51.532217,-0.134337,2427.0,Elementary School,Seedcamp,London
135,Fairley House Junior School,51.495111,-0.117882,2428.0,Elementary School,Seedcamp,London
136,St Josephs Primary School,51.493005,-0.162098,2435.0,Elementary School,Seedcamp,London
137,Christopher Hatton Primary School,51.522691,-0.112192,2446.0,Elementary School,Seedcamp,London
138,St Georges Hanover Square C of E Primary School,51.50877,-0.150054,610.0,Elementary School,Seedcamp,London
139,Elliot Foundation,51.525345,-0.116806,2365.0,Elementary School,Seedcamp,London
140,ZIK Expert Teachers,51.514806,-0.123674,1345.0,Language School,Seedcamp,London
141,Eaton Square School,51.492765,-0.142835,2022.0,Elementary School,Seedcamp,London
142,Southbank International School Westminster - Conway Street,51.523089,-0.141078,1363.0,High School,Seedcamp,London
143,Fairley House School,51.490482,-0.131406,2398.0,Primary and Secondary School,Seedcamp,London
144,The London Film School,51.513533,-0.125455,1170.0,College Arts Building,Seedcamp,London
145,Westminster School,51.498317,-0.12811,1641.0,High School,Seedcamp,London
146,More House School,51.497288,-0.15959,1936.0,High School,Seedcamp,London
147,London Nautical School,51.506494,-0.108033,2373.0,High School,Seedcamp,London
148,Emerson Elementary School,44.968294,-93.280364,1581.0,Elementary School,Idea Shower,Minneapolis
149,Hennepin Elementary School,44.961302,-93.271211,1902.0,Elementary School,Idea Shower,Minneapolis
150,Minneapolis Public Schools,44.981505,-93.262388,472.0,Elementary School,Idea Shower,Minneapolis
151,Downtown Open Elementary School,44.975665,-93.269897,480.0,Elementary School,Idea Shower,Minneapolis
152,Religion Information Resources,44.9723,-93.260737,642.0,Elementary School,Idea Shower,Minneapolis
153,The Loft,44.975595,-93.254243,821.0,Elementary School,Idea Shower,Minneapolis
154,Minneapolis Public Schools,44.975242,-93.276944,1020.0,Elementary School,Idea Shower,Minneapolis
155,Learningware,44.989289,-93.27431,1527.0,Elementary School,Idea Shower,Minneapolis
156,Connection Center,44.973706,-93.285742,1733.0,Elementary School,Idea Shower,Minneapolis
157,Chiron Middle School,44.973812,-93.285794,1734.0,Elementary School,Idea Shower,Minneapolis
158,Kipp Minnesota,44.973803,-93.28613,1760.0,Elementary School,Idea Shower,Minneapolis
159,Four Winds American Indian Elementary School,44.960008,-93.263098,1944.0,Elementary School,Idea Shower,Minneapolis
160,Phillips Elementary School,44.959902,-93.263047,1956.0,Elementary School,Idea Shower,Minneapolis
161,Minneapolis Public Schools,44.994211,-93.256231,1965.0,Elementary School,Idea Shower,Minneapolis
162,Gaia Democratic School,44.980583,-93.238147,2088.0,Elementary School,Idea Shower,Minneapolis
163,Minneapolis Public Schools,44.963218,-93.246544,2114.0,Elementary School,Idea Shower,Minneapolis
164,Learning In Style,44.96063,-93.278331,2171.0,Elementary School,Idea Shower,Minneapolis
165,Minneapolis Public School Transportation Services,44.978156,-93.292411,2207.0,Elementary School,Idea Shower,Minneapolis
166,Association-Waldorf School,44.959412,-93.27828,2287.0,Elementary School,Idea Shower,Minneapolis
167,Minneapolis Public Schools,44.9999,-93.262862,2493.0,Elementary School,Idea Shower,Minneapolis
168,Interdistrict Downtown School,44.975322,-93.276837,1008.0,High School,Idea Shower,Minneapolis
169,DeLaSalle High School,44.98677,-93.262974,1027.0,High School,Idea Shower,Minneapolis
170,PPL Learning Center,44.962952,-93.26213,1725.0,Child Care Service,Idea Shower,Minneapolis
171,Lincoln International High School,44.961488,-93.271155,1847.0,High School,Idea Shower,Minneapolis
172,Hope Academy,44.960186,-93.263378,1919.0,Elementary School,Idea Shower,Minneapolis
173,Metro Schools College Prep,44.985036,-93.286428,1932.0,Elementary School,Idea Shower,Minneapolis
174,Urban League High School Acad,44.960665,-93.279321,2207.0,High School,Idea Shower,Minneapolis
175,Augsburg Fairview Academy,44.956878,-93.264122,2283.0,High School,Idea Shower,Minneapolis
176,P.E.A.S.E. Academy,44.983582,-93.235742,2362.0,High School,Idea Shower,Minneapolis
177,The Blake School,44.969644,-93.29313,2492.0,High School,Idea Shower,Minneapolis
178,George R Moscone Elementary School,37.756468,-122.412606,220.0,Elementary School,Pageflakes,San Francisco
179,Cesar Chavez Elementary School,37.754971,-122.415098,352.0,Elementary School,Pageflakes,San Francisco
180,Buena Vista Horace Mann School,37.753017,-122.421002,777.0,Elementary School,Pageflakes,San Francisco
181,Marshall Elementary School,37.766468,-122.419001,979.0,Elementary School,Pageflakes,San Francisco
182,Bryant Elementary School,37.751672,-122.404798,1118.0,Elementary School,Pageflakes,San Francisco
183,Katherine Michiels School,37.749812,-122.422317,1148.0,Elementary School,Pageflakes,San Francisco
184,Leonard R Flynn Elementary School,37.747826,-122.411953,1150.0,Elementary School,Pageflakes,San Francisco
185,Mission Dolores,37.764382,-122.427478,1284.0,Elementary School,Pageflakes,San Francisco
186,Starr King Elementary School,37.753305,-122.399233,1449.0,Elementary School,Pageflakes,San Francisco
187,Live Oak School,37.763509,-122.399117,1471.0,Elementary School,Pageflakes,San Francisco
188,Sanchez Elementary School,37.76353,-122.430509,1548.0,Elementary School,Pageflakes,San Francisco
189,Daniel Webster Elementary SCHL,37.760587,-122.395863,1714.0,Elementary School,Pageflakes,San Francisco
190,Saint Philip the Apostle School,37.751676,-122.43597,1945.0,Elementary School,Pageflakes,San Francisco
191,Chinese American International School,37.775313,-122.422104,2015.0,Elementary School,Pageflakes,San Francisco
192,John Muir Elementary School,37.773721,-122.428819,2100.0,Elementary School,Pageflakes,San Francisco
193,McKinley Elementary School,37.766996,-122.436448,2135.0,Elementary School,Pageflakes,San Francisco
194,Alvarado Elementary School,37.75374,-122.438457,2136.0,Elementary School,Pageflakes,San Francisco
195,Bessie Carmichael Elementary School,37.776344,-122.406468,2146.0,Elementary School,Pageflakes,San Francisco
196,Fairmount Elementary School,37.740274,-122.425265,2184.0,Elementary School,Pageflakes,San Francisco
197,Mission Education Center,37.742196,-122.431325,2314.0,Elementary School,Pageflakes,San Francisco
198,Paul Revere Elementary School,37.737247,-122.41312,2332.0,Elementary School,Pageflakes,San Francisco
